datetime,portfolio_value,cash,return
2024-01-02 09:30:00-05:00,100000.0,100000.0,
2024-01-03 09:30:00-05:00,99816.61883544922,49951.039611816406,-0.0018338116455077769
2024-01-04 09:30:00-05:00,99590.8383178711,49951.039611816406,-0.002261953171849407
2024-01-05 09:30:00-05:00,99504.97857666016,49951.039611816406,-0.0008621248968393447
2024-01-06 09:30:00-05:00,99504.97857666016,49951.039611816406,0.0
2024-01-08 09:30:00-05:00,99604.61883544922,49951.039611816406,0.001001359532099233
2024-01-09 09:30:00-05:00,99969.25909423828,49951.039611816406,0.0036608770060297946
2024-01-10 09:30:00-05:00,100212.0,49951.039611816406,0.0024281554946095074
2024-01-11 09:30:00-05:00,100575.57922363281,49951.039611816406,0.0036281006629226287
2024-01-12 09:30:00-05:00,100602.07922363281,49951.039611816406,0.00026348344403848145
2024-01-13 09:30:00-05:00,100602.07922363281,49951.039611816406,0.0
2024-01-16 09:30:00-05:00,100328.60064697266,49951.039611816406,-0.0027184187322035758
2024-01-17 09:30:00-05:00,99963.9603881836,49951.039611816406,-0.0036344597297048864
2024-01-18 09:30:00-05:00,100196.10064697266,49951.039611816406,0.0023222395139970153
2024-01-19 09:30:00-05:00,100581.93896484375,49951.039611816406,0.00385083167288669
2024-01-20 09:30:00-05:00,100581.93896484375,49951.039611816406,0.0
2024-01-22 09:30:00-05:00,101256.10064697266,49951.039611816406,0.006702611712074313
2024-01-23 09:30:00-05:00,101256.10064697266,49951.039611816406,0.0
2024-01-24 09:30:00-05:00,101658.89935302734,49951.039611816406,0.003978019136437361
2024-01-25 09:30:00-05:00,101634.51818847656,49951.039611816406,-0.00023983305648545006
2024-01-26 09:30:00-05:00,101635.57922363281,49951.039611816406,1.0439712561760572e-05
2024-01-27 09:30:00-05:00,101635.57922363281,49951.039611816406,0.0
2024-01-29 09:30:00-05:00,101650.42077636719,49951.039611816406,0.00014602713781686205
2024-01-30 09:30:00-05:00,101950.39935302734,49951.039611816406,0.00295108052056281
